Num Nodes,Num Models,Num Requests,Stress Level,Alpha,Mean Latency,Median Latency,Min Latency,Max Latency,Standard Deviation,Warm,Cold,Download,Evict,50th Percentile,90th Percentile,95th Percentile,99th Percentile
20,100000,100000,10.0,2.2,0.21,0.1,0.05,5.19,0.58,97616,2384,0,0,0.1,0.21,0.21,3.98
20,100000,100000,10.0,4.0,0.2,0.19,0.07,23.09,0.28,99516,482,0,2,0.19,0.19,0.19,0.19
200,1000,1000,0.2,0.0,3.81,3.87,0.06,5.19,0.9,14,986,0,0,3.87,4.97,5.08,5.19
200,1000,1000,0.2,1.1,3.3,3.65,0.06,5.19,1.47,140,860,0,0,3.65,4.86,5.08,5.19
200,1000,1000,0.2,1.6,1.35,0.12,0.05,5.19,1.81,660,340,0,0,0.12,4.2,4.64,5.08
200,1000,1000,0.2,2.2,0.89,0.28,0.11,5.19,1.46,835,165,0,0,0.28,3.65,4.64,5.08
200,1000,1000,0.2,4.0,0.36,0.15,0.07,4.75,0.82,934,66,0,0,0.15,0.15,2.77,3.65
200,1000,1000,1.0,0.0,3.61,3.76,0.05,5.19,1.2,66,934,0,0,3.76,4.97,5.08,5.19
200,1000,1000,1.0,1.1,3.02,3.54,0.05,5.19,1.73,242,758,0,0,3.54,4.97,5.08,5.19
200,1000,1000,1.0,1.6,0.93,0.14,0.06,5.19,1.53,785,215,0,0,0.14,3.87,4.53,4.97
200,1000,1000,1.0,2.2,0.45,0.15,0.05,5.19,0.98,917,83,0,0,0.15,0.24,3.32,4.64
200,1000,1000,1.0,4.0,0.28,0.18,0.17,4.86,0.6,975,25,0,0,0.18,0.18,0.26,3.98
200,1000,1000,10.0,0.0,2.67,3.21,0.05,5.19,1.85,322,678,0,0,3.21,4.86,4.97,5.19
200,1000,1000,10.0,1.1,2.2,2.66,0.05,5.19,1.94,450,550,0,0,2.66,4.75,4.97,5.19
200,1000,1000,10.0,1.6,0.69,0.11,0.06,5.19,1.35,852,148,0,0,0.11,3.22,4.2,4.97
200,1000,1000,10.0,2.2,0.31,0.09,0.07,5.19,0.83,944,56,0,0,0.09,0.28,2.99,4.53
200,1000,1000,10.0,4.0,0.19,0.09,0.05,4.53,0.54,966,34,0,0,0.09,0.09,0.09,2.99
200,1000,100000,0.2,0.0,3.81,3.76,0.05,5.19,0.88,1172,98828,0,0,3.76,4.97,5.08,5.19
200,1000,100000,0.2,1.1,3.41,3.65,0.05,5.19,1.38,11450,88550,0,0,3.65,4.86,5.08,5.19
200,1000,100000,0.2,1.6,1.48,0.22,0.05,5.19,1.89,64493,35507,0,0,0.22,4.42,4.75,4.97
200,1000,100000,0.2,2.2,0.74,0.05,0.05,5.19,1.51,83122,16878,0,0,0.05,3.87,4.42,5.19
200,1000,100000,0.2,4.0,0.26,0.08,0.08,5.19,0.74,94253,5747,0,0,0.08,0.08,2.88,3.32
200,1000,100000,1.0,0.0,3.63,3.76,0.05,5.19,1.14,5655,94345,0,0,3.76,4.97,5.08,5.19
200,1000,100000,1.0,1.1,2.86,3.32,0.05,5.19,1.76,26075,73925,0,0,3.32,4.86,5.08,5.19
200,1000,100000,1.0,1.6,0.99,0.28,0.05,5.19,1.57,79727,20273,0,0,0.28,4.09,4.75,5.08
200,1000,100000,1.0,2.2,0.53,0.25,0.05,5.19,1.09,92328,7672,0,0,0.25,0.27,4.09,5.08
200,1000,100000,1.0,4.0,0.24,0.17,0.05,5.19,0.51,97910,2090,0,0,0.17,0.17,0.17,3.87
200,1000,100000,10.0,0.0,2.25,2.77,0.05,5.19,1.94,43818,56182,0,0,2.77,4.75,5.08,5.19
200,1000,100000,10.0,1.1,1.76,0.26,0.05,5.19,1.91,56888,43112,0,0,0.26,4.53,4.97,5.19
200,1000,100000,10.0,1.6,0.48,0.18,0.05,21.98,1.05,91434,8565,1,0,0.18,0.28,3.54,4.97
200,1000,100000,10.0,2.2,0.29,0.22,0.05,26.42,0.59,97590,2407,3,0,0.22,0.22,0.23,4.2
200,1000,100000,10.0,4.0,0.14,0.12,0.11,15.32,0.24,99566,433,1,0,0.12,0.12,0.21,0.21
200,10000,1000,0.2,0.0,3.86,3.87,0.11,5.19,0.81,2,998,0,0,3.87,4.97,5.08,5.19
200,10000,1000,0.2,1.1,3.44,3.76,0.05,5.19,1.35,106,894,0,0,3.76,4.86,5.08,5.19
200,10000,1000,0.2,1.6,1.48,0.21,0.05,5.19,1.84,652,348,0,0,0.21,4.53,4.75,5.08
200,10000,1000,0.2,2.2,0.79,0.05,0.05,5.19,1.55,820,180,0,0,0.05,3.87,4.64,4.86
